gene_identifier	macM	macF	mouse	pig	human
gene_6169	BTG2	BTG2	Btg2	BTG2	BTG2
gene_6170	ZCCHC24	ZCCHC24	Zcchc24	ZCCHC24	ZCCHC24
gene_6171	NRF1	NRF1	Nrf1	NRF1	NRF1
gene_6172	EIF1AX	EIF1AX	Eif1ax	EIF1AX	EIF1AX
gene_6173	BCO1	BCO1	Bco1	BCO1	BCO1
gene_6174	PCSK6	PCSK6	Pcsk6	PCSK6	PCSK6
gene_6175	UBE4A	UBE4A	Ube4a	UBE4A	UBE4A
gene_6176	ABCD2	ABCD2	Abcd2	ABCD2	ABCD2
gene_6177	RPS6KA3	RPS6KA3	Rps6ka3	RPS6KA3	RPS6KA3
gene_6178	YEATS4	YEATS4	Yeats4	YEATS4	YEATS4
gene_6179	MYO1B	MYO1B	Myo1b	MYO1B	MYO1B
gene_6180	PDPR	PDPR	Pdpr	PDPR	PDPR
gene_6181	ABCF1	ABCF1	Abcf1	ABCF1	ABCF1
gene_6182	LHX9	LHX9	Lhx9	LHX9	LHX9
gene_6183	ZNHIT1	ZNHIT1	Znhit1	ZNHIT1	ZNHIT1
gene_6184	TRMT10A	TRMT10A	Trmt10a	TRMT10A	TRMT10A
gene_6185	ADIPOQ	ADIPOQ	Adipoq	ADIPOQ	ADIPOQ
gene_6186	DESI2	DESI2	Desi2	DESI2	DESI2
gene_6187	SCPEP1	SCPEP1	Scpep1	SCPEP1	SCPEP1
gene_6188	ATP13A4	ATP13A4	Atp13a4	ATP13A4	ATP13A4
gene_6189	SNORA2B	SNORA2B	Snora2b	SNORA2B	SNORA2B
gene_6190	SNORA2C	SNORA2C	SNORA2C	SNORA2C	SNORA2C
gene_6191	IGHMBP2	IGHMBP2	Ighmbp2	IGHMBP2	IGHMBP2
gene_6192	EXT1	EXT1	Ext1	EXT1	EXT1
gene_6193	SLC26A9	SLC26A9	Slc26a9	SLC26A9	SLC26A9
gene_6194	DENND2A	DENND2A	Dennd2a	DENND2A	DENND2A
gene_6195	MIR331	MIR331	Mir331	ssc-mir-331	MIR331
gene_6196	BEGAIN	BEGAIN	Begain	BEGAIN	BEGAIN
gene_6197	U6	U6	Gm22157	U6	RNU6-977P
gene_6198	DNAJB5	DNAJB5	Dnajb5	DNAJB5	DNAJB5
gene_6199	U6	U6	Gm23507	U6	RNU6-1088P
gene_6200	MTMR9	MTMR9	Mtmr9	MTMR9	MTMR9
gene_6201	WAPL	WAPL	Wapl	WAPL	WAPL
gene_6202	mml-mir-135a-2	MIR135A2	Mir135a-2	ssc-mir-135-2	MIR135A2
gene_6203	VASH1	VASH1	Vash1	VASH1	VASH1
gene_6204	ADIPOR2	ADIPOR2	Adipor2	ADIPOR2	ADIPOR2
gene_6205	FAM135A	FAM135A	Fam135a	FAM135A	FAM135A
gene_6206	AKAP1	AKAP1	Akap1	AKAP1	AKAP1
gene_6207	ANGEL1	ANGEL1	Angel1	ANGEL1	ANGEL1
gene_6208	GMNC	GMNC	Gmnc	GMNC	GMNC
gene_6209	CACNA2D4	CACNA2D4	Cacna2d4	CACNA2D4	CACNA2D4
gene_6210	ZNF398	ZNF398	Zfp398	ZNF398	ZNF398
gene_6211	SLC45A3	SLC45A3	Slc45a3	SLC45A3	SLC45A3
gene_6212	MAPK10	MAPK10	Mapk10	MAPK10	MAPK10
gene_6213	ILDR2	ILDR2	Ildr2	ILDR2	ILDR2
gene_6214	SYNGR4	SYNGR4	Syngr4	SYNGR4	SYNGR4
gene_6215	BCLAF3	BCLAF3	Bclaf3	BCLAF3	BCLAF3
gene_6216	KDELR1	KDELR1	Kdelr1	KDELR1	KDELR1
gene_6217	OR1B1	OR1B1	Olfr362	OR1B1	OR1B1
gene_6218	LRRC74A	LRRC74A	Lrrc74a	LRRC74A	LRRC74A
gene_6219	FAM167A	FAM167A	Fam167a	FAM167A	FAM167A
gene_6220	SVOPL	SVOPL	Svopl	SVOPL	SVOPL
gene_6221	GRWD1	GRWD1	Grwd1	GRWD1	GRWD1
gene_6222	DEFB136	DEFB136	Defb42	DEFB136	DEFB136
gene_6223	INSC	INSC	Insc	INSC	INSC
gene_6224	RAP2B	RAP2B	Rap2b	RAP2B	RAP2B
gene_6225	FGFR1	FGFR1	Fgfr1	FGFR1	FGFR1
gene_6226	KCNJ14	KCNJ14	Kcnj14	KCNJ14	KCNJ14
gene_6227	RRP15	RRP15	Rrp15	RRP15	RRP15
gene_6228	MKLN1	MKLN1	Mkln1	MKLN1	MKLN1
gene_6229	ALDH18A1	ALDH18A1	Aldh18a1	ALDH18A1	ALDH18A1
gene_6230	EPHB3	EPHB3	Ephb3	EPHB3	EPHB3
gene_6231	ZNF169	ZNF169	Zfp169	ZNF169	ZNF169
gene_6232	TMEM59	TMEM59	Tmem59	TMEM59	TMEM59
gene_6233	SULT2B1	SULT2B1	Sult2b1	SULT2B1	SULT2B1
gene_6234	SPACA4	SPACA4	Spaca4	SPACA4	SPACA4
gene_6235	TMEM41A	LIPH	Liph	LIPH	LIPH
gene_6236	CEP57L1	CEP57L1	Cep57l1	CEP57L1	CEP57L1
gene_6237	COPG2	COPG2	Copg2	COPG2	COPG2
gene_6238	PRKD1	PRKD1	Prkd1	PRKD1	PRKD1
gene_6239	MEGF9	MEGF9	Megf9	MEGF9	MEGF9
gene_6240	LOXL4	LOXL4	Loxl4	LOXL4	LOXL4
gene_6241	PIGB	PIGB	Pigb	PIGB	PIGB
gene_6242	CUEDC1	CUEDC1	Cuedc1	CUEDC1	CUEDC1
gene_6243	SORCS3	SORCS3	Sorcs3	SORCS3	SORCS3
gene_6244	EIF5A2	EIF5A2	Eif5a2	EIF5A2	EIF5A2
gene_6245	GLE1	GLE1	Gle1	GLE1	GLE1
gene_6246	DMAC2L	DMAC2L	Dmac2l	DMAC2L	DMAC2L
gene_6247	mml-mir-628	MIR628	MIR628	ssc-mir-628	MIR628
gene_6248	MCMBP	MCMBP	Mcmbp	MCMBP	MCMBP
gene_6249	MIR363	MIR363	Mir363	ssc-mir-363-1	MIR363
gene_6250	mml-mir-19b-2	MIR19B2	Mir19b-2	ssc-mir-19b-2	MIR19B2
gene_6251	CCDC160	CCDC160	Ccdc160	CCDC160	CCDC160
gene_6252	SPHK2	SPHK2	Sphk2	SPHK2	SPHK2
gene_6253	VEZF1	VEZF1	Vezf1	VEZF1	VEZF1
gene_6254	DGAT2L6	DGAT2L6	Dgat2l6	DGAT2L6	DGAT2L6
gene_6255	CD96	CD96	Cd96	CD96	CD96
gene_6256	SNORD63	SNORD63	Gm26109	SNORD63	SNORD63
gene_6257	HSPA9	HSPA9	Hspa9	HSPA9	HSPA9
gene_6258	ARR3	ARR3	Arr3	ARR3	ARR3
gene_6259	SEC23IP	SEC23IP	Sec23ip	SEC23IP	SEC23IP
gene_6260	FAM180A	FAM180A	Fam180a	FAM180A	FAM180A
gene_6261	IGSF9B	IGSF9B	Igsf9b	IGSF9B	IGSF9B
gene_6262	DYNLL2	DYNLL2	Dynll2	DYNLL2	DYNLL2
gene_6263	TBXAS1	TBXAS1	Tbxas1	TBXAS1	TBXAS1
gene_6264	EPX	EPX	Epx	EPX	EPX
gene_6265	KIF4A	KIF4A	Kif4	KIF4A	KIF4A
gene_6266	ANKRD40CL	ANKRD40CL	Ankrd40cl	ANKRD40CL	ANKRD40CL
gene_6267	PPP1R12B	PPP1R12B	Ppp1r12b	PPP1R12B	PPP1R12B
gene_6268	CA11	CA11	Car11	CA11	CA11
gene_6269	TTC12	TTC12	Ttc12	TTC12	TTC12
gene_6270	CH25H	CH25H	Ch25h	CH25H	CH25H
gene_6271	LIPA	LIPA	Lipa	LIPA	LIPA
gene_6272	U2SURP	U2SURP	U2surp	U2SURP	U2SURP
gene_6273	CHP1	CHP1	Chp1	CHP1	CHP1
gene_6274	ST3GAL2	ST3GAL2	St3gal2	ST3GAL2	ST3GAL2
gene_6275	CDKN3	CDKN3	Cdkn3	CDKN3	CDKN3
gene_6276	MAMSTR	MAMSTR	Mamstr	MAMSTR	MAMSTR
gene_6277	TMEM205	TMEM205	Tmem205	TMEM205	TMEM205
gene_6278	SNX11	SNX11	Snx11	SNX11	SNX11
gene_6279	FCSK	FCSK	Fcsk	FCSK	FCSK
gene_6280	TCTN3	TCTN3	Tctn3	TCTN3	TCTN3
gene_6281	GDPD2	GDPD2	Gdpd2	GDPD2	GDPD2
gene_6282	OIP5	OIP5	Oip5	OIP5	OIP5
gene_6283	NUSAP1	NUSAP1	Nusap1	NUSAP1	NUSAP1
gene_6284	UBAP1	UBAP1	Ubap1	UBAP1	UBAP1
gene_6285	PDZD11	PDZD11	Pdzd11	PDZD11	PDZD11
gene_6286	RAPGEFL1	RAPGEFL1	Rapgefl1	RAPGEFL1	RAPGEFL1
gene_6287	LRTM2	LRTM2	Lrtm2	LRTM2	LRTM2
gene_6288	SLC35B3	SLC35B3	Slc35b3	SLC35B3	SLC35B3
gene_6289	DCP1B	DCP1B	Dcp1b	DCP1B	DCP1B
gene_6290	BTK	BTK	Btk	BTK	BTK
gene_6291	OGDHL	OGDHL	Ogdhl	OGDHL	OGDHL
gene_6292	SWSAP1	SWSAP1	Swsap1	SWSAP1	SWSAP1
gene_6293	EPOR	EPOR	Epor	EPOR	EPOR
gene_6294	NUDT2	NUDT2	Nudt2	NUDT2	NUDT2
gene_6295	ROS1	ROS1	Ros1	ROS1	ROS1
gene_6296	MYORG	MYORG	Myorg	MYORG	MYORG
gene_6297	FOXD1	FOXD1	Foxd1	FOXD1	FOXD1
gene_6298	KIF24	KIF24	Kif24	KIF24	KIF24
gene_6299	PHC1	PHC1	Phc1	PHC1	PHC1
gene_6300	ANKRA2	ANKRA2	Ankra2	ANKRA2	ANKRA2
gene_6301	PTPN14	PTPN14	Ptpn14	PTPN14	PTPN14
gene_6302	ZNF483	ZNF483	Zkscan16	ZNF483	ZNF483
gene_6303	SF3B3	SF3B3	Sf3b3	SF3B3	SF3B3
gene_6304	VIPR2	VIPR2	Vipr2	VIPR2	VIPR2
gene_6305	NDEL1	NDEL1	Ndel1	NDEL1	NDEL1
gene_6306	SGMS1	SGMS1	Sgms1	SGMS1	SGMS1
gene_6307	U6	U6	Gm24836	U6	RNU6-905P
gene_6308	UTP15	UTP15	Utp15	UTP15	UTP15
gene_6309	NDUFAF1	NDUFAF1	Ndufaf1	NDUFAF1	NDUFAF1
gene_6310	ARHGAP5	ARHGAP5	Arhgap5	ARHGAP5	ARHGAP5
gene_6311	U6	U6	U6	U6	RNU6-856P
gene_6312	SNORD19	SNORD19	Snord19	SNORD19	SNORD19
gene_6313	SNORD69	SNORD69	Snord69	SNORD69	SNORD69
gene_6314	U3	U3	Gm25419	U3	U3
gene_6315	ITPKA	ITPKA	Itpka	ITPKA	ITPKA
gene_6316	NEK2	NEK2	Nek2	NEK2	NEK2
gene_6317	SNORD19B	SNORD19B	Gm24916	SNORD19B	SNORD19B
gene_6318	PAPSS2	PAPSS2	Papss2	PAPSS2	PAPSS2
gene_6319	AANAT	AANAT	Aanat	AANAT	AANAT
gene_6320	U1	U1	U1	U1	RNU1-30P
gene_6321	PTPRK	PTPRK	Ptprk	PTPRK	PTPRK
gene_6322	U2	U2	Gm23628	U2	RNU2-20P
gene_6323	U6	U6	Gm22085	U6	RNU6-1120P
gene_6324	SNORD111B	SNORD111B	Gm22193	SNORD111B	SNORD111B
gene_6325	SNORD111	SNORD111	Snord111	SNORD111	SNORD111
gene_6326	COL28A1	COL28A1	Col28a1	COL28A1	COL28A1
gene_6327	RAB6A	RAB6A	Rab6a	RAB6A	RAB6A
gene_6328	ZNF652	ZNF652	Zfp652	ZNF652	ZNF652
gene_6329	NDRG2	NDRG2	Ndrg2	NDRG2	NDRG2
gene_6330	AARS1	AARS1	Aars	AARS1	AARS1
gene_6331	U6	U6	Gm24546	U6	RNU6-1233P
gene_6332	SNORA63	SNORA63	Gm25852	SNORA63	SNORA63E
gene_6333	C1H1orf53	C1orf53	2310009B15Rik	C1orf53	C1orf53
gene_6334	ADGRG7	ADGRG7	Adgrg7	ADGRG7	ADGRG7
gene_6335	ATAD1	ATAD1	Atad1	ATAD1	ATAD1
gene_6336	M6PR	M6PR	M6pr	M6PR	M6PR
gene_6337	PRELP	PRELP	Prelp	PRELP	PRELP
gene_6338	DNAJC25	DNAJC25	Dnajc25	DNAJC25	DNAJC25
gene_6339	ODAD3	ODAD3	Odad3	ODAD3	ODAD3
gene_6340	RAB4A	RAB4A	Rab4a	RAB4A	RAB4A
gene_6341	mml-mir-339	MIR339	Mir339	ssc-mir-339-1	MIR339
gene_6342	ARID5B	ARID5B	Arid5b	ARID5B	ARID5B
gene_6343	RPAP1	RPAP1	Rpap1	RPAP1	RPAP1
gene_6344	KLRG1	KLRG1	Klrg1	KLRG1	KLRG1
gene_6345	SNORA5A	SNORA5A	Gm24313	SNORA5A	SNORA5A
gene_6346	SNORA5C	SNORA5C	Snora5c	SNORA5C	SNORA5C
gene_6347	UGCG	UGCG	Ugcg	UGCG	UGCG
gene_6348	MSS51	MSS51	Mss51	MSS51	MSS51
gene_6349	GYG1	GYG1	Gyg	GYG1	GYG1
gene_6350	U6	U6	Gm24234	U6	RNU6-274P
gene_6351	PPP3CB	PPP3CB	Ppp3cb	PPP3CB	PPP3CB
gene_6352	TADA1	TADA1	Tada1	TADA1	TADA1
gene_6353	MIR592	MIR592	Mir592	MIR592	MIR592
gene_6354	mml-mir-183	MIR183	Mir183	ssc-mir-183	MIR183
gene_6355	mml-mir-96	MIR96	Mir96	ssc-mir-96	MIR96
gene_6356	SHOC1	SHOC1	Shoc1	SHOC1	SHOC1
gene_6357	ELAVL3	ELAVL3	Elavl3	ELAVL3	ELAVL3
gene_6358	CALCOCO2	CALCOCO2	Calcoco2	CALCOCO2	CALCOCO2
gene_6359	REN	REN	Ren1	REN	REN
gene_6360	SLC43A3	SLC43A3	Slc43a3	SLC43A3	SLC43A3
gene_6361	HBP1	HBP1	Hbp1	HBP1	HBP1
gene_6362	TYRO3	TYRO3	Tyro3	TYRO3	TYRO3
gene_6363	ZNF653	ZNF653	Zfp653	ZNF653	ZNF653
gene_6364	SEC31B	SEC31B	Sec31b	SEC31B	SEC31B
gene_6365	CD40LG	CD40LG	Cd40lg	CD40LG	CD40LG
gene_6366	DHX9	DHX9	Dhx9	DHX9	DHX9
gene_6367	CNN1	CNN1	Cnn1	CNN1	CNN1
gene_6368	HLTF	HLTF	Hltf	HLTF	HLTF
gene_6369	U6	U6	Gm22302	U6	RNU6-843P
gene_6370	ARHGEF6	ARHGEF6	Arhgef6	ARHGEF6	ARHGEF6
gene_6371	TBX5	TBX5	Tbx5	TBX5	TBX5
gene_6372	mml-mir-216a	MIR216A	Mir216a	ssc-mir-216-1	MIR216A
gene_6373	GPR22	GPR22	Gpr22	GPR22	GPR22
gene_6374	PPP1R3A	PPP1R3A	Ppp1r3a	PPP1R3A	PPP1R3A
gene_6375	KASH5	KASH5	Kash5	KASH5	KASH5
gene_6376	RASGRF1	RASGRF1	Rasgrf1	RASGRF1	RASGRF1
gene_6377	SNORD61	SNORD61	Snord61	SNORD61	SNORD61
gene_6378	ZNF185	ZNF185	Zfp185	ZNF185	ZNF185
gene_6379	EN2	EN2	En2	EN2	EN2
gene_6380	SUGCT	SUGCT	Sugct	SUGCT	SUGCT
gene_6381	SPARC	SPARC	Sparc	SPARC	SPARC
gene_6382	SWT1	SWT1	Swt1	SWT1	SWT1
gene_6383	GLI1	GLI1	Gli1	GLI1	GLI1
gene_6384	JMJD6	JMJD6	Jmjd6	JMJD6	JMJD6
gene_6385	CLEC5A	CLEC5A	Clec5a	CLEC5A	CLEC5A
gene_6386	SLC66A3	SLC66A3	Pqlc3	SLC66A3	SLC66A3
gene_6387	FBXO28	FBXO28	Fbxo28	FBXO28	FBXO28
gene_6388	PSMA1	PSMA1	Psma1	PSMA1	PSMA1
gene_6389	ARHGAP9	ARHGAP9	Arhgap9	ARHGAP9	ARHGAP9
gene_6390	HIF1AN	HIF1AN	Hif1an	HIF1AN	HIF1AN
gene_6391	TPD52L3	TPD52L3	Trpd52l3	TPD52L3	TPD52L3
gene_6392	ZNF189	ZNF189	Zfp189	ZNF189	ZNF189
gene_6393	GPR37	GPR37	Gpr37	GPR37	GPR37
gene_6394	CEP170	CEP170	Cep170	CEP170	CEP170
gene_6395	GLRA1	GLRA1	Glra1	GLRA1	GLRA1
gene_6396	CTSH	CTSH	Ctsh	CTSH	CTSH
gene_6397	PAX2	PAX2	Pax2	PAX2	PAX2
gene_6398	ZPBP2	ZPBP2	Zpbp2	ZPBP2	ZPBP2
gene_6399	HPS3	HPS3	Hps3	HPS3	HPS3
gene_6400	E2F6	E2F6	E2f6	E2F6	E2F6
gene_6401	GOSR1	GOSR1	Gosr1	GOSR1	GOSR1
gene_6402	SLC45A2	SLC45A2	Slc45a2	SLC45A2	SLC45A2
gene_6403	TRPC5	TRPC5	Trpc5	TRPC5	TRPC5
gene_6404	GABARAPL2	GABARAPL2	Gabarapl2	GABARAPL2	GABARAPL2
gene_6405	COPS6	COPS6	Cops6	COPS6	COPS6
gene_6406	RPN1	RPN1	Rpn1	RPN1	RPN1
gene_6407	AMACR	C1QTNF3	C1qtnf3	C1QTNF3	C1QTNF3
gene_6408	RTL4	RTL4	Rtl4	RTL4	RTL4
gene_6409	TERF2IP	TERF2IP	Terf2ip	TERF2IP	TERF2IP
gene_6410	TIMM17B	TIMM17B	Timm17b	TIMM17B	TIMM17B
gene_6411	FAM189A2	FAM189A2	Fam189a2	FAM189A2	FAM189A2
gene_6412	SLF2	SLF2	Slf2	SLF2	SLF2
gene_6413	GPRIN1	GPRIN1	Gprin1	GPRIN1	GPRIN1
gene_6414	SNCB	SNCB	Sncb	SNCB	SNCB
gene_6415	C2H3orf38	C3orf38	4930453N24Rik	C3orf38	C3orf38
gene_6416	OR2K2	OR2K2	Olfr267	OR2K2	OR2K2
gene_6417	MCM7	MCM7	Mcm7	MCM7	MCM7
gene_6418	PCNP	PCNP	Pcnp	PCNP	PCNP
gene_6419	TCEANC	TCEANC	Tceanc	TCEANC	TCEANC
gene_6420	GPD2	GPD2	Gpd2	GPD2	GPD2
gene_6421	CYBB	CYBB	Cybb	GP91-PHOX	CYBB
gene_6422	TWNK	TWNK	Twnk	TWNK	TWNK
gene_6423	SLC5A10	SLC5A10	Slc5a10	SLC5A10	SLC5A10
gene_6424	TSPAN17	TSPAN17	Tspan17	TSPAN17	TSPAN17
gene_6425	CEP97	CEP97	Cep97	CEP97	CEP97
gene_6426	MTHFD1L	MTHFD1L	Mthfd1l	MTHFD1L	MTHFD1L
gene_6427	MARS1	MARS1	Mars1	MARS1	MARS1
gene_6428	MOSPD2	MOSPD2	Mospd2	MOSPD2	MOSPD2
gene_6429	KY	KY	Ky	KY	KY
gene_6430	AMFR	AMFR	Amfr	AMFR	AMFR
gene_6431	SRFBP1	SRFBP1	Srfbp1	SRFBP1	SRFBP1
gene_6432	KAZALD1	KAZALD1	Kazald1	KAZALD1	KAZALD1
gene_6433	COP1	COP1	Cop1	COP1	COP1
gene_6434	LOX	LOX	Lox	LOX	LOX
gene_6435	FANCB	FANCB	Fancb	FANCB	FANCB
gene_6436	IFIT2	IFIT2	Ifit2	IFIT2	IFIT2
gene_6437	MRPS18A	MRPS18A	Mrps18a	MRPS18A	MRPS18A
gene_6438	mml-mir-25	MIR25	Mir25	MIR25	MIR25
gene_6439	mml-mir-106b	MIR106B	Mir106b	MIR106B	MIR106B
gene_6440	TOM1L2	TOM1L2	Tom1l2	TOM1L2	TOM1L2
gene_6441	BAMBI	BAMBI	Bambi	BAMBI	BAMBI
gene_6442	AP4M1	AP4M1	Ap4m1	AP4M1	AP4M1
gene_6443	FANCD2OS	FANCD2OS	Fancd2os	FANCD2OS	FANCD2OS
gene_6444	BRK1	BRK1	Brk1	BRK1	BRK1
gene_6445	IRAK2	IRAK2	Irak2	IRAK2	IRAK2
gene_6446	OGFOD1	OGFOD1	Ogfod1	OGFOD1	OGFOD1
gene_6447	ZC3H12B	ZC3H12B	Zc3h12b	ZC3H12B	ZC3H12B
gene_6448	FGF7	FGF7	Fgf7	FGF7	FGF7
gene_6449	ADAM8	ADAM8	Adam8	ADAM8	ADAM8
gene_6450	RTL9	RTL9	Rtl9	RTL9	RTL9
gene_6451	NAB1	NAB1	Nab1	NAB1	NAB1
gene_6452	ATP6V1G2	ATP6V1G2	Atp6v1g2	ATP6V1G2	ATP6V1G2
gene_6453	GHRL	GHRL	Ghrl	GHRL	GHRL
gene_6454	MSANTD2	MSANTD2	Msantd2	MSANTD2	MSANTD2
gene_6455	MPIG6B	MPIG6B	Mpig6b	MPIG6B	MPIG6B
gene_6456	FMOD	FMOD	Fmod	FMOD	FMOD
gene_6457	KLC2	KLC2	Klc2	KLC2	KLC2
gene_6458	SLAMF7	SLAMF7	Slamf7	SLAMF7	SLAMF7
gene_6459	WDR13	WDR13	Wdr13	WDR13	WDR13
gene_6460	KARS1	KARS1	Kars	KARS1	KARS1
gene_6461	GLS	GLS	Gls	GLS	GLS
gene_6462	MBD6	MBD6	Mbd6	MBD6	MBD6
gene_6463	ZNF511	ZNF511	Zfp511	ZNF511	ZNF511
gene_6464	KLF9	KLF9	Klf9	KLF9	KLF9
gene_6465	PUM3	PUM3	Pum3	PUM3	PUM3
gene_6466	NOSIP	NOSIP	Nosip	NOSIP	NOSIP
gene_6467	PGRMC1	PGRMC1	Pgrmc1	PGRMC1	PGRMC1
gene_6468	CALY	CALY	Caly	CALY	CALY
gene_6469	ZNF106	ZNF106	Zfp106	ZNF106	ZNF106
gene_6470	SLC25A43	SLC25A43	Slc25a43	SLC25A43	SLC25A43
gene_6471	SEC13	SEC13	Sec13	SEC13	SEC13
gene_6472	TFAP2A	TFAP2A	Tfap2a	TFAP2A	TFAP2A
gene_6473	PIP4K2C	PIP4K2C	Pip4k2c	PIP4K2C	PIP4K2C
gene_6474	FUOM	FUOM	Fuom	FUOM	FUOM
gene_6475	UBE2A	UBE2A	Ube2a	UBE2A	UBE2A
gene_6476	TMEM95	TMEM95	Tmem95	TMEM95	TMEM95
gene_6477	GAN	GAN	Gan	GAN	GAN
gene_6478	TP53I11	TP53I11	Trp53i11	TP53I11	TP53I11
gene_6479	ECHS1	ECHS1	Echs1	ECHS1	ECHS1
gene_6480	RGS18	RGS18	Rgs18	RGS18	RGS18
gene_6481	RAPGEF1	RAPGEF1	Rapgef1	RAPGEF1	RAPGEF1
gene_6482	PAOX	PAOX	Paox	PAOX	PAOX
gene_6483	GNPAT	GNPAT	Gnpat	GNPAT	GNPAT
gene_6484	HEXD	HEXD	Hexdc	HEXD	HEXD
gene_6485	STAT4	STAT4	Stat4	STAT4	STAT4
gene_6486	CNPY4	CNPY4	Cnpy4	CNPY4	CNPY4
gene_6487	DTX3	DTX3	Dtx3	DTX3	DTX3
gene_6488	CLN8	CLN8	Cln8	CLN8	CLN8
gene_6489	PRRG2	PRRG2	Prrg2	PRRG2	PRRG2
gene_6490	TRAPPC14	TRAPPC14	Trappc14	TRAPPC14	TRAPPC14
gene_6491	ARHGEF25	ARHGEF25	Arhgef25	ARHGEF25	ARHGEF25
gene_6492	PYGO1	PYGO1	Pygo1	PYGO1	PYGO1
gene_6493	GNB5	GNB5	Gnb5	GNB5	GNB5
gene_6494	CLIC5	CLIC5	Clic5	CLIC5	CLIC5
gene_6495	RRAS	RRAS	Rras	RRAS	RRAS
gene_6496	TGFB2	TGFB2	Tgfb2	TGFB2	TGFB2
gene_6497	ARHGEF10	ARHGEF10	Arhgef10	ARHGEF10	ARHGEF10
gene_6498	SPA17	SPA17	Spa17	SPA17	SPA17
gene_6499	GAL3ST4	GAL3ST4	Gal3st4	GAL3ST4	GAL3ST4
gene_6500	EHF	EHF	Ehf	EHF	EHF
gene_6501	CHAT	CHAT	Chat	CHAT	CHAT
gene_6502	GPC2	GPC2	Gpc2	GPC2	GPC2
gene_6503	ODR4	ODR4	Odr4	ODR4	ODR4
gene_6504	SLC25A20	SLC25A20	Slc25a20	SLC25A20	SLC25A20
gene_6505	IFT20	IFT20	Ift20	IFT20	IFT20
gene_6506	B4GALNT1	B4GALNT1	B4galnt1	B4GALNT1	B4GALNT1
gene_6507	IRF3	IRF3	Irf3	IRF3	IRF3
gene_6508	IL33	IL33	Il33	IL33	IL33
gene_6509	P4HTM	P4HTM	P4htm	P4HTM	P4HTM
gene_6510	FMO4	FMO4	Fmo4	FMO4	FMO4
gene_6511	RHOQ	RHOQ	Rhoq	RHOQ	RHOQ
gene_6512	ECPAS	ECPAS	Ecpas	ECPAS	ECPAS
gene_6513	GABPB1	GABPB1	Gabpb1	GABPB1	GABPB1
gene_6514	RIPK1	RIPK1	Ripk1	RIPK1	RIPK1
gene_6515	PDHA1	PDHA1	Pdha1	PDHA1	PDHA1
gene_6516	NSL1	NSL1	Nsl1	NSL1	NSL1
gene_6517	PIGF	PIGF	Pigf	PIGF	PIGF
gene_6518	NOL7	NOL7	Nol7	NOL7	NOL7
gene_6519	DDX28	DDX28	Ddx28	DDX28	DDX28
gene_6520	DALRD3	DALRD3	Dalrd3	DALRD3	DALRD3
gene_6521	LPXN	LPXN	Lpxn	LPXN	LPXN
gene_6522	RANBP9	RANBP9	Ranbp9	RANBP9	RANBP9
gene_6523	PPP1R35	PPP1R35	Ppp1r35	PPP1R35	PPP1R35
gene_6524	NFATC3	NFATC3	Nfatc3	NFATC3	NFATC3
gene_6525	TSPAN31	TSPAN31	Tspan31	TSPAN31	TSPAN31
gene_6526	SNX9	SNX9	Snx9	SNX9	SNX9
gene_6527	NNMT	NNMT	Nnmt	NNMT	NNMT
gene_6528	CDK4	CDK4	Cdk4	CDK4	CDK4
gene_6529	MYOCD	MYOCD	Myocd	MYOCD	MYOCD
gene_6530	MYOM2	MYOM2	Myom2	MYOM2	MYOM2
gene_6531	SLC18A3	SLC18A3	Slc18a3	SLC18A3	SLC18A3
gene_6532	C9H10orf53	C10orf53	1700024G13Rik	C10orf53	C10orf53
gene_6533	COPB1	COPB1	Copb1	COPB1	COPB1
gene_6534	SYNJ2	SYNJ2	Synj2	SYNJ2	SYNJ2
gene_6535	ZNF248	ZNF248	Zfp248	ZNF248	ZNF248
gene_6536	IKBKG	IKBKG	Ikbkg	IKBKG	IKBKG
gene_6537	mml-mir-425	MIR425	Mir425	ssc-mir-425	MIR425
gene_6538	NDUFAF3	NDUFAF3	Ndufaf3	NDUFAF3	NDUFAF3
gene_6539	NCOA4	NCOA4	Ncoa4	NCOA4	NCOA4
gene_6540	NDUFAF2	NDUFAF2	Ndufaf2	NDUFAF2	NDUFAF2
gene_6541	ATP1A2	ATP1A4	Atp1a4	ATP1A4	ATP1A4
gene_6542	MARCHF9	MARCHF9	Marchf9	MARCHF9	MARCHF9
gene_6543	LINGO1	LINGO1	Lingo1	LINGO1	LINGO1
gene_6544	CYP27B1	CYP27B1	Cyp27b1	CYP27B1	CYP27B1
gene_6545	MIR191	MIR191	MIR191	ssc-mir-191	MIR191
gene_6546	PTX3	PTX3	Ptx3	PTX3	PTX3
gene_6547	SNTN	SNTN	Sntn	SNTN	SNTN
gene_6548	NDOR1	NDOR1	Ndor1	NDOR1	NDOR1
gene_6549	TPD52	TPD52	Tpd52	TPD52	TPD52
gene_6550	LMBRD2	LMBRD2	Lmbrd2	LMBRD2	LMBRD2
gene_6551	THOC7	THOC7	Thoc7	THOC7	THOC7
gene_6552	METTL1	METTL1	Mettl1	METTL1	METTL1
gene_6553	GALNT2	GALNT2	Galnt2	GALNT2	GALNT2
gene_6554	CGNL1	CGNL1	Cgnl1	CGNL1	CGNL1
gene_6555	TRRAP	TRRAP	Trrap	TRRAP	TRRAP
gene_6556	NADK2	NADK2	Nadk2	NADK2	NADK2
